"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AnnisaSeptiayu: Antusiasme Driver di Malang Sambut Logo Baru Gojek... Respond positif dari driver @gojekmalang @Gojek_Malang_ menyambut…",FALSE,0,NA,2019-08-07 07:51:04,FALSE,NA,"1159009044914249728",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DahliaPesona",6,TRUE,FALSE,NA,NA
"RT @AnnisaSeptiayu: Antusiasme Driver di Malang Sambut Logo Baru Gojek... Respond positif dari driver @gojekmalang @Gojek_Malang_ menyambut…",FALSE,0,NA,2019-08-07 07:51:01,FALSE,NA,"1159009032251666432",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BambangDavid1",6,TRUE,FALSE,NA,NA
"RT @AnnisaSeptiayu: Antusiasme Driver di Malang Sambut Logo Baru Gojek... Respond positif dari driver @gojekmalang @Gojek_Malang_ menyambut…",FALSE,0,NA,2019-08-07 07:50:58,FALSE,NA,"1159009019790422016",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","elpanjullo",6,TRUE,FALSE,NA,NA
"Antusiasme Driver di Malang Sambut Logo Baru Gojek... Respond positif dari driver @gojekmalang @Gojek_Malang_ menya… https://t.co/hx8djjCIDq",FALSE,0,NA,2019-08-07 07:50:50,TRUE,NA,"1159008985699123200",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AnnisaSeptiayu",6,FALSE,FALSE,NA,NA
"RT @ijotoska: Tuwips, kalo pesen gojek dan dapet drivernya Bapak ini, gue sarankan untuk bayar cash dan bersabar, ya. Beliau baru jadi driv…",FALSE,0,NA,2019-08-07 07:50:33,FALSE,NA,"1159008914190454786",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hauraegas",23208,TRUE,FALSE,NA,NA
"@violetmagics @FOODFESS2 oh iya, biasa aku order d gojek sih tp ternyata d grab lebih nguntungin pake promo <U+0001F614>",FALSE,0,"violetmagics",2019-08-07 07:50:29,FALSE,"1159007774820294657","1159008898851860481","877015712","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","xdoumaa",0,FALSE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 07:50:12,FALSE,NA,"1159008825527005184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lionbun_",478,TRUE,FALSE,NA,NA
"RT @newlyshot: @geekkboyy @mot_jaehyun @gojekindonesia saran: gojek klo dikasih bintang 1 jgn langsung putus mitra. Tapi, ditelusuri dulu a…",FALSE,0,NA,2019-08-07 07:49:34,FALSE,NA,"1159008667586326529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jinanmyluv",105,TRUE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 07:49:09,FALSE,NA,"1159008562837803009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","svckfeelingss",478,TRUE,FALSE,NA,NA
"@nakpendiem Ketan durian? Lah trus gojek nya ngapain?",FALSE,0,"nakpendiem",2019-08-07 07:48:38,FALSE,"1158892817441181697","1159008433602826242","1065312190691856384","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lagirebahann",0,FALSE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 07:48:38,FALSE,NA,"1159008433401520138",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nardinanelya",478,TRUE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 07:48:34,FALSE,NA,"1159008417492553728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yourxujiao",478,TRUE,FALSE,NA,NA
"@oemamizm Rich brian yang dianterin makan via gojek ga da apa2nya dong ya",FALSE,0,"oemamizm",2019-08-07 07:47:39,FALSE,"1158742881575657473","1159008187749560325","240956397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ermayuliati",0,FALSE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 07:46:57,FALSE,NA,"1159008011458715648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bingungakutu",478,TRUE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 07:46:56,FALSE,NA,"1159008004861075457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wat3rmewl0n",478,TRUE,FALSE,NA,NA
"@ddchaaa Hi, mohon maaf sebelumnya. Untuk informasi/penanganan lebih lanjut silakan laporkan melalui menu Bantuan y… https://t.co/SemgMEydax",FALSE,0,"ddchaaa",2019-08-07 07:46:55,TRUE,"1158966031483752450","1159008000649990146","322464253","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gopayindonesia",0,FALSE,FALSE,NA,NA
"nonton review XFT dan serandom itu akhirnya ngegojek onezo........... dapet bapak gojek super baik :""D",FALSE,0,NA,2019-08-07 07:46:46,FALSE,NA,"1159007964000210944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","madelinetioria",0,FALSE,FALSE,NA,NA
"@hnm0129 Ya gojek gih, knp musti minta tolong w :V",FALSE,0,"hnm0129",2019-08-07 07:46:31,FALSE,"1159002862585729024","1159007899105914882","1101516071608102912","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","freakinsouth",0,FALSE,FALSE,NA,NA
"@AhmadGhozali81 @uusbiasaaja @GOJAK_MANIA @NS_jkt @JekDriver @CeritaTranspOL @ziarah_kubur @YoGojekYo @jendralojek… https://t.co/nvkL1vyMfc",FALSE,0,"AhmadGhozali81",2019-08-07 07:46:27,TRUE,"1158378565227859968","1159007883188555779","808317186921988097","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ryanfrmnsyah",0,FALSE,FALSE,NA,NA
"Kenyang tanpa masak ? #GoFood-in aja
Download #Gojek dan mulai #HidupTanpaBatas di Tomohon ##HidupTanpaBatas #GojekTomohon",FALSE,0,NA,2019-08-07 07:45:54,FALSE,NA,"1159007746894655490",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","GojekTomohon",0,FALSE,FALSE,NA,NA
"@ybrap Lagi bikin skck rap buat daftar gojek",FALSE,1,"ybrap",2019-08-07 07:45:44,FALSE,"1158652885258784769","1159007701491281920","979237506343346177","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_fatahh",0,FALSE,FALSE,NA,NA
"@yudhidwi_ Tapi itu kuat banget panas"" 30 trip<U+0001F613>
Dan masih ada potongan bensin dan 20% buat gojek ya",FALSE,1,"yudhidwi_",2019-08-07 07:45:27,FALSE,"1159005953108221954","1159007632285286400","817398024531951616","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mintarestuibumu",0,FALSE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 07:45:00,FALSE,NA,"1159007519081029632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nvtawbw",265,TRUE,FALSE,NA,NA
"RT @tanya2rl: [tanyarl] pantes aja indonesia di kasi predikat negara tersantai. Gojek aja skuy living banget nih https://t.co/dmOdJ0fy4X",FALSE,0,NA,2019-08-07 07:44:01,FALSE,NA,"1159007269738045440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yayaudasih",76,TRUE,FALSE,NA,NA
"RT @tanya2rl: [tanyarl] pantes aja indonesia di kasi predikat negara tersantai. Gojek aja skuy living banget nih https://t.co/dmOdJ0fy4X",FALSE,0,NA,2019-08-07 07:43:29,FALSE,NA,"1159007138099822592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","staricheese",76,TRUE,FALSE,NA,NA
"RT @melimelibanana: Terima kasih @dewisutrisno_ aku baru tau ada ginian di app Gojek.

Selama ini asal pakai dan top up aja, gak kerasa, pa…",FALSE,0,NA,2019-08-07 07:43:24,FALSE,NA,"1159007117778378752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Evameiwulandari",16,TRUE,FALSE,NA,NA
"RT @newlyshot: @geekkboyy @mot_jaehyun @gojekindonesia saran: gojek klo dikasih bintang 1 jgn langsung putus mitra. Tapi, ditelusuri dulu a…",FALSE,0,NA,2019-08-07 07:43:02,FALSE,NA,"1159007025222733826",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","humannicc",105,TRUE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 07:42:58,FALSE,NA,"1159007006163755009",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peternakucing",265,TRUE,FALSE,NA,NA
"RT @tanya2rl: [tanyarl] pantes aja indonesia di kasi predikat negara tersantai. Gojek aja skuy living banget nih https://t.co/dmOdJ0fy4X",FALSE,0,NA,2019-08-07 07:42:23,FALSE,NA,"1159006861024100352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mirahutriSG",76,TRUE,FALSE,NA,NA
"RT @bayugusa: Kumpulan voucher gratis dan promo menarik GOJEK<U+0001F60D>
(Auto update jika ada yang baru)

Like + rt dulu biar yang lain tau juga<U+0001F609>

=…",FALSE,0,NA,2019-08-07 07:42:05,FALSE,NA,"1159006786411585536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","takrnw",325,TRUE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 07:41:58,FALSE,NA,"1159006755130499073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","veryveryxx",265,TRUE,FALSE,NA,NA
"RT @astrodiaal: @ChiIdishClown Daerah gw zomer (uber) pernah gw naik gojek dari stasiun ke rumah, dicegat trus gw bentak aja opangnya spya…",FALSE,0,NA,2019-08-07 07:41:56,FALSE,NA,"1159006746116935680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kentankrispii",10,TRUE,FALSE,NA,NA
"RT @tanya2rl: [tanyarl] pantes aja indonesia di kasi predikat negara tersantai. Gojek aja skuy living banget nih https://t.co/dmOdJ0fy4X",FALSE,0,NA,2019-08-07 07:41:33,FALSE,NA,"1159006649740189696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tiaramaharyuni",76,TRUE,FALSE,NA,NA
"RT @bayugusa: Kumpulan voucher gratis dan promo menarik GOJEK<U+0001F60D>
(Auto update jika ada yang baru)

Like + rt dulu biar yang lain tau juga<U+0001F609>

=…",FALSE,0,NA,2019-08-07 07:40:44,FALSE,NA,"1159006444965859328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MentariDeswita",325,TRUE,FALSE,NA,NA
"Bundle go-ride gojek udh ga ada lagi ya? Sumpah itu ngebantu banget",FALSE,0,NA,2019-08-07 07:40:34,FALSE,NA,"1159006405241778177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","armellyaa",0,FALSE,FALSE,NA,NA
"MD ada yang mau join agen pulsa ga? Bisa isi yg lain juga kyk ovo atau gojek atau kuota dll. Rep aja yg minat , nnti ku dm<U+0001F609>",FALSE,0,NA,2019-08-07 07:40:33,FALSE,NA,"1159006400363634688",NA,"<a href=""https://twitter.com/mydamnstuffs"" rel=""nofollow"">MyDamnStuffs</a>","MyDamnStuffs",0,FALSE,FALSE,NA,NA
"@demon1nside bisa gojek ga kak? jam buka sampe jam berapa? suka kepengen kalo tengah malem biasanya hehe",FALSE,0,"demon1nside",2019-08-07 07:40:30,FALSE,"1159005085503934465","1159006388493807618","995257280722386950","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chhronnipppleee",0,FALSE,FALSE,NA,NA
